PIckUpDateTime,Latitude,Longitude,Age,Sex,SpendCat,RedidentCat,AppleAndorid,NetworkFlag,NetworkProvider,PrePaidPostPaid,ActivePassive,VoiceData
2020-04-29 00:00:00+00,-1.435152,53.365667,38,2,1,1,1,1,1,1,2,1
2020-04-29 02:00:00+00,-1.51786,53.393017,53,1,2,1,1,1,1,2,1,2
2020-04-29 02:00:00+00,-1.465415,53.371379,66,2,1,1,1,1,1,1,1,1
2020-04-29 03:00:00+00,-1.476865,53.388037,45,1,1,1,1,1,1,1,1,1
2020-04-29 03:00:00+00,-1.490092,53.392939,37,2,2,1,1,1,1,2,2,1
2020-04-29 04:00:00+00,-1.443871,53.394285,35,1,2,1,1,1,1,1,2,1
2020-04-29 04:00:00+00,-1.44165,53.389132,19,2,2,1,1,1,1,2,1,1
2020-04-29 06:00:00+00,-1.479496,53.378114,77,2,1,1,1,1,1,1,2,2
2020-04-29 06:00:00+00,-1.50149,53.374336,61,2,4,1,1,1,1,1,1,1
2020-04-29 06:00:00+00,-1.497776,53.392461,40,1,5,1,1,1,1,1,2,1
2020-04-29 06:00:00+00,-1.473439,53.392026,49,1,2,1,1,1,1,1,1,1
2020-04-29 07:00:00+00,-1.466226,53.385927,60,1,3,1,1,1,1,1,1,1
2020-04-29 08:00:00+00,-1.459052,53.392881,48,2,4,1,1,1,1,2,1,1
2020-04-29 08:00:00+00,-1.492824,53.374877,20,2,1,1,1,1,1,1,2,1
2020-04-29 08:00:00+00,-1.50703,53.36879,39,1,5,1,1,1,1,1,1,1
2020-04-29 09:00:00+00,-1.463456,53.500935,40,2,1,1,1,1,1,1,1,1
2020-04-29 11:00:00+00,-1.459461,53.391515,32,1,1,1,1,1,1,1,2,1
2020-04-29 12:00:00+00,-1.478446,53.510985,27,2,2,1,1,1,1,2,1,1
2020-04-29 13:00:00+00,-1.460129,53.393885,31,2,2,1,1,1,1,1,2,1
2020-04-29 14:00:00+00,-1.483889,53.432435,63,1,5,1,1,1,1,1,2,1
2020-04-29 14:00:00+00,-1.45681,53.427085,37,1,5,1,1,1,1,1,2,1
2020-04-29 15:00:00+00,-1.422789,53.378016,77,1,5,1,1,1,1,1,2,1
2020-04-29 15:00:00+00,-1.470293,53.462395,52,1,4,1,1,1,1,1,1,2
2020-04-29 16:00:00+00,-1.478252,53.374167,35,1,2,1,1,1,1,1,1,1
2020-04-29 16:00:00+00,-1.475068,53.498585,53,2,3,1,1,1,1,1,1,1
2020-04-29 16:00:00+00,-1.456788,53.434185,50,1,1,1,1,1,1,1,2,1
2020-04-29 17:00:00+00,-1.479236,53.395802,37,2,2,1,1,1,1,1,2,1
2020-04-29 17:00:00+00,-1.501922,53.380225,68,2,1,1,1,1,1,1,1,1
2020-04-29 17:00:00+00,-1.458583,53.440685,72,2,1,1,1,1,1,1,1,1
2020-04-29 17:00:00+00,-1.472757,53.426345,24,1,4,1,1,1,1,1,1,1
2020-04-29 18:00:00+00,-1.42423,53.395936,63,2,4,1,1,1,1,1,1,1
2020-04-29 18:00:00+00,-1.481678,53.486775,62,2,4,1,1,1,1,1,2,1
2020-04-29 19:00:00+00,-1.478615,53.422355,21,2,4,1,1,1,1,1,1,1
2020-04-29 20:00:00+00,-1.515393,53.388754,38,2,3,1,1,1,1,1,2,1
2020-04-29 20:00:00+00,-1.443871,53.394285,38,1,4,1,1,1,1,1,2,1
2020-04-29 20:00:00+00,-1.455665,53.394391,73,2,2,1,1,1,1,1,1,1
2020-04-29 22:00:00+00,-1.467079,53.385805,20,2,1,1,1,1,1,1,2,1
2020-04-29 23:00:00+00,-1.435152,53.365667,51,1,4,1,1,1,1,1,2,1
2020-04-29 23:00:00+00,-1.44282,53.381868,54,2,3,1,1,1,1,1,1,1
2020-04-29 09:00:00+00,-1.457618,53.412715,74,2,2,2,1,1,1,1,1,1
2020-04-29 10:00:00+00,-1.457533,53.510475,41,2,5,2,1,1,1,1,2,1
2020-04-29 10:00:00+00,-1.481548,53.419785,28,2,3,2,1,1,1,1,2,1
2020-04-29 12:00:00+00,-1.474941,53.418565,33,1,3,2,1,1,1,1,1,1
2020-04-29 12:00:00+00,-1.468879,53.504445,44,2,4,2,1,1,1,1,2,2
2020-04-29 12:00:00+00,-1.466194,53.422615,60,1,4,2,1,1,1,1,1,1
2020-04-29 13:00:00+00,-1.470515,53.407465,80,1,5,2,1,1,1,1,2,1
2020-04-29 14:00:00+00,-1.473139,53.401407,17,1,3,2,1,1,1,1,1,1
2020-04-29 16:00:00+00,-1.470921,53.424485,49,2,4,2,1,1,1,1,1,1
2020-04-29 16:00:00+00,-1.480377,53.445315,56,1,3,2,1,1,1,1,2,1
2020-04-29 17:00:00+00,-1.459767,53.441385,54,2,2,2,1,1,1,1,1,1
2020-04-29 17:00:00+00,-1.476065,53.448435,17,2,5,2,1,1,1,1,2,1
2020-04-29 10:00:00+00,-1.462815,53.452045,23,1,3,3,1,1,1,1,2,1
2020-04-29 11:00:00+00,-1.474645,53.452105,17,1,2,3,1,1,1,1,1,1
2020-04-29 11:00:00+00,-1.473263,53.425047,27,1,3,3,1,1,1,1,2,1
2020-04-29 15:00:00+00,-1.472773,53.442127,29,1,5,3,1,1,1,1,1,1
2020-04-29 00:00:00+00,-1.429905,53.374645,65,1,5,1,1,2,1,1,1,1
2020-04-29 00:00:00+00,-1.436448,53.377968,80,2,2,1,1,2,1,2,2,1
2020-04-29 00:00:00+00,-1.47313,53.366755,41,2,5,1,1,2,1,1,2,2
2020-04-29 01:00:00+00,-1.458273,53.395872,50,2,5,1,1,2,1,1,1,1
2020-04-29 01:00:00+00,-1.499858,53.382305,33,1,2,1,1,2,1,1,1,1
2020-04-29 02:00:00+00,-1.518352,53.383563,72,1,2,1,1,2,1,1,1,1
2020-04-29 02:00:00+00,-1.497373,53.369792,56,1,4,1,1,2,1,1,2,1
2020-04-29 02:00:00+00,-1.502715,53.396269,58,1,2,1,1,2,1,1,1,1
2020-04-29 03:00:00+00,-1.495121,53.379902,28,2,1,1,1,2,1,1,1,1
2020-04-29 04:00:00+00,-1.47369,53.368099,80,2,1,1,1,2,1,1,2,1
2020-04-29 04:00:00+00,-1.492153,53.384591,61,2,2,1,1,2,1,2,1,1
2020-04-29 04:00:00+00,-1.449113,53.385865,66,1,4,1,1,2,1,1,1,1
2020-04-29 05:00:00+00,-1.470571,53.395728,21,2,5,1,1,2,1,1,1,2
2020-04-29 05:00:00+00,-1.510913,53.395275,68,1,1,1,1,2,1,1,1,1
2020-04-29 05:00:00+00,-1.516385,53.385209,43,1,2,1,1,2,1,1,2,1
2020-04-29 05:00:00+00,-1.466987,53.389206,79,2,2,1,1,2,1,1,2,1
2020-04-29 05:00:00+00,-1.474845,53.376854,35,2,4,1,1,2,1,1,1,1
2020-04-29 06:00:00+00,-1.458259,53.374689,23,1,5,1,1,2,1,1,1,1
2020-04-29 06:00:00+00,-1.497373,53.369792,57,3,1,1,1,2,1,1,1,1
2020-04-29 07:00:00+00,-1.518386,53.375087,32,1,3,1,1,2,1,1,1,1
2020-04-29 07:00:00+00,-1.429788,53.378719,51,2,5,1,1,2,1,1,2,1
2020-04-29 07:00:00+00,-1.510626,53.389139,78,1,1,1,1,2,1,1,1,1
2020-04-29 07:00:00+00,-1.419924,53.374717,42,1,2,1,1,2,1,1,2,1
2020-04-29 07:00:00+00,-1.515353,53.37284,30,2,4,1,1,2,1,1,1,1
2020-04-29 08:00:00+00,-1.430613,53.380847,62,2,1,1,1,2,1,1,1,1
2020-04-29 08:00:00+00,-1.461098,53.479325,22,1,5,1,1,2,1,1,2,1
2020-04-29 09:00:00+00,-1.452754,53.387119,49,2,5,1,1,2,1,1,1,1
2020-04-29 09:00:00+00,-1.482867,53.508565,69,2,5,1,1,2,1,1,2,1
2020-04-29 09:00:00+00,-1.463401,53.454215,62,1,3,1,1,2,1,2,1,1
2020-04-29 09:00:00+00,-1.463617,53.408215,49,1,3,1,1,2,1,1,1,1
2020-04-29 10:00:00+00,-1.423736,53.38225,56,2,2,1,1,2,1,1,1,1
2020-04-29 10:00:00+00,-1.469409,53.509415,56,2,5,1,1,2,1,1,2,1
2020-04-29 10:00:00+00,-1.483406,53.502785,36,2,2,1,1,2,1,1,1,1
2020-04-29 11:00:00+00,-1.491004,53.387231,34,1,1,1,1,2,1,1,2,1
2020-04-29 11:00:00+00,-1.457424,53.464495,20,2,3,1,1,2,1,1,1,1
2020-04-29 12:00:00+00,-1.45742,53.391997,55,1,1,1,1,2,1,1,1,1
2020-04-29 12:00:00+00,-1.519658,53.394389,46,1,2,1,1,2,1,1,2,1
2020-04-29 12:00:00+00,-1.483772,53.383338,18,1,4,1,1,2,1,1,2,1
2020-04-29 12:00:00+00,-1.475225,53.442665,28,1,1,1,1,2,1,1,1,1
2020-04-29 13:00:00+00,-1.465881,53.403775,49,1,3,1,1,2,1,1,1,1
2020-04-29 14:00:00+00,-1.458845,53.505595,81,2,2,1,1,2,1,1,1,1
2020-04-29 14:00:00+00,-1.467837,53.407085,60,1,2,1,1,2,1,1,1,1
2020-04-29 14:00:00+00,-1.463287,53.422825,65,1,5,1,1,2,1,1,1,2
2020-04-29 15:00:00+00,-1.472722,53.392024,28,2,5,1,1,2,1,2,1,1
2020-04-29 15:00:00+00,-1.466152,53.484365,23,1,1,1,1,2,1,2,2,1
2020-04-29 15:00:00+00,-1.474439,53.380965,28,1,4,1,1,2,1,1,1,1
2020-04-29 15:00:00+00,-1.468814,53.390675,23,1,4,1,1,2,1,1,2,1
2020-04-29 16:00:00+00,-1.496746,53.384061,70,1,4,1,1,2,1,1,2,1
2020-04-29 16:00:00+00,-1.466323,53.408775,38,1,1,1,1,2,1,1,1,1
2020-04-29 16:00:00+00,-1.471348,53.485195,44,2,1,1,1,2,1,1,1,1
2020-04-29 17:00:00+00,-1.461891,53.467665,37,2,3,1,1,2,1,1,2,1
