PickUpDateTime,Latitude,Longitude,Age,Sex,SpendCat,RedidentCat,AppleAndorid,NetworkFlag,NetworkProvider,PrePaidPostPaid,ActivePassive,VoiceData
2020-04-29 00:00:00+00,-1.445207,53.420977,72,2,1,1,1,1,1,1,2,2
2020-04-29 00:00:00+00,-1.240629,53.394937,34,1,4,1,1,1,1,1,2,1
2020-04-29 00:00:00+00,-1.479542,53.448478,58,1,5,1,1,1,1,1,1,1
2020-04-29 01:00:00+00,-1.193901,53.422916,40,1,1,1,1,1,1,1,1,1
2020-04-29 02:00:00+00,-1.513075,53.397735,63,2,1,1,1,1,1,1,2,1
2020-04-29 02:00:00+00,-1.35385,53.312682,30,2,5,1,1,1,1,1,2,1
2020-04-29 02:00:00+00,-1.466548,53.453701,36,2,3,1,1,1,1,1,1,1
2020-04-29 02:00:00+00,-1.20676,53.388117,40,2,5,1,1,1,1,1,1,1
2020-04-29 02:00:00+00,-1.230689,53.464365,76,1,1,1,1,1,1,2,1,1
2020-04-29 03:00:00+00,-1.424793,53.308102,21,2,4,1,1,1,1,2,1,1
2020-04-29 03:00:00+00,-1.211144,53.424582,52,2,3,1,1,1,1,1,1,1
2020-04-29 04:00:00+00,-1.508365,53.453157,45,2,1,1,1,1,1,1,1,1
2020-04-29 04:00:00+00,-1.213505,53.397414,57,1,3,1,1,1,1,1,1,1
2020-04-29 05:00:00+00,-1.381089,53.425707,32,2,5,1,1,1,1,1,2,1
2020-04-29 05:00:00+00,-1.455388,53.411038,57,1,1,1,1,1,1,1,2,1
2020-04-29 05:00:00+00,-1.221968,53.427195,71,1,5,1,1,1,1,1,2,1
2020-04-29 05:00:00+00,-1.46332,53.405334,35,2,1,1,1,1,1,1,2,1
2020-04-29 06:00:00+00,-1.135203,53.416153,53,1,3,1,1,1,1,1,1,1
2020-04-29 06:00:00+00,-1.389207,53.37769,59,1,1,1,1,1,1,2,2,1
2020-04-29 07:00:00+00,-1.212521,53.329244,50,1,2,1,1,1,1,1,2,1
2020-04-29 07:00:00+00,-1.179614,53.475206,54,2,5,1,1,1,1,1,2,2
2020-04-29 08:00:00+00,-1.458242,53.385408,84,1,3,1,1,1,1,1,1,2
2020-04-29 09:00:00+00,-1.425774,53.420249,62,2,3,1,1,1,1,1,1,1
2020-04-29 11:00:00+00,-1.557756,53.448096,47,1,2,1,1,1,1,1,2,1
2020-04-29 12:00:00+00,-1.404796,53.467331,26,1,2,1,1,1,1,1,2,1
2020-04-29 12:00:00+00,-1.201892,53.359964,71,2,2,1,1,1,1,1,1,1
2020-04-29 13:00:00+00,-1.49787,53.440562,52,2,4,1,1,1,1,1,1,2
2020-04-29 13:00:00+00,-1.490554,53.472432,56,1,4,1,1,1,1,1,2,1
2020-04-29 14:00:00+00,-1.456987,53.381229,57,2,3,1,1,1,1,1,2,1
2020-04-29 15:00:00+00,-1.461988,53.382652,21,2,5,1,1,1,1,2,1,1
2020-04-29 16:00:00+00,-1.437262,53.345282,23,2,3,1,1,1,1,1,2,1
2020-04-29 16:00:00+00,-1.128199,53.421362,63,1,3,1,1,1,1,1,1,1
2020-04-29 16:00:00+00,-1.467291,53.378004,25,2,3,1,1,1,1,1,2,1
2020-04-29 17:00:00+00,-1.212599,53.406441,57,2,1,1,1,1,1,1,1,1
2020-04-29 17:00:00+00,-1.462384,53.376012,55,2,5,1,1,1,1,2,1,2
2020-04-29 19:00:00+00,-1.462429,53.382431,16,2,2,1,1,1,1,2,2,1
2020-04-29 19:00:00+00,-1.480666,53.375778,63,1,4,1,1,1,1,1,1,1
2020-04-29 20:00:00+00,-1.39157,53.315753,65,2,2,1,1,1,1,2,2,1
2020-04-29 20:00:00+00,-1.518482,53.428607,17,2,4,1,1,1,1,1,2,1
2020-04-29 21:00:00+00,-1.205212,53.374915,83,2,2,1,1,1,1,1,2,1
2020-04-29 22:00:00+00,-1.367334,53.368575,40,1,1,1,1,1,1,1,2,1
2020-04-29 23:00:00+00,-1.168216,53.422753,33,1,1,1,1,1,1,1,1,1
2020-04-29 10:00:00+00,-1.469211,53.332924,28,1,5,2,1,1,1,1,1,1
2020-04-29 10:00:00+00,-1.471115,53.375858,35,2,1,2,1,1,1,1,1,1
2020-04-29 10:00:00+00,-1.466016,53.381521,60,1,2,2,1,1,1,1,2,1
2020-04-29 10:00:00+00,-1.469456,53.383047,80,1,2,2,1,1,1,1,1,1
2020-04-29 12:00:00+00,-1.46679,53.387378,28,1,2,2,1,1,1,1,1,1
2020-04-29 13:00:00+00,-1.46947,53.378994,37,2,4,2,1,1,1,1,1,1
2020-04-29 14:00:00+00,-1.466176,53.373899,32,1,2,2,1,1,1,1,2,1
2020-04-29 15:00:00+00,-1.466892,53.383217,32,2,1,2,1,1,1,2,1,1
2020-04-29 15:00:00+00,-1.474082,53.386622,23,1,3,2,1,1,1,1,1,2
2020-04-29 10:00:00+00,-1.474251,53.380091,25,2,2,3,1,1,1,1,1,1
2020-04-29 10:00:00+00,-1.466018,53.377813,52,2,5,3,1,1,1,2,2,1
2020-04-29 12:00:00+00,-1.471159,53.376362,76,1,2,3,1,1,1,1,1,1
2020-04-29 00:00:00+00,-1.448961,53.412127,31,1,3,1,1,2,1,2,1,1
