PickUpDateTime,Longitude,Latitude,Age,Sex,SpendCat,ResidentCat,AppleAndorid,NetworkFlag,NetworkProvider,PrePaidPostPaid,ActivePassive,VoiceData
2020-04-29 19:14:00,-1.485501,53.372683,85,1,5,UK,Android,4,EE,PostPaid,Passive,NotInUse
2020-04-30 19:14:00,-1.461127,53.381278,47,1,3,Resident,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-05-01 19:14:00,-1.448171,53.388471,64,1,4,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-05-02 19:14:00,-1.444236,53.388691,76,2,2,Resident,Apple,2,O2,PrePaid,Passive,NotInUse
2020-05-03 19:14:00,-1.515010,53.373948,45,2,1,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-05-04 19:14:00,-1.460910,53.378946,43,2,3,Resident,Android,3,Vodafone,PrePaid,Passive,NotInUse
2020-05-05 19:14:00,-1.488353,53.374096,71,2,5,Resident,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-05-06 19:14:00,-1.462120,53.372942,43,1,1,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-05-07 19:14:00,-1.515946,53.368596,48,2,3,Resident,Android,1,BT,PostPaid,Active,Voice
2020-05-08 19:14:00,-1.468114,53.384966,37,1,3,Resident,Android,6,MVNO,PostPaid,Active,Data
2020-05-09 19:14:00,-1.514968,53.380344,48,2,1,UK,Android,1,BT,PostPaid,Active,Data
2020-05-10 19:14:00,-1.444155,53.367989,60,2,1,Non-UK,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-05-11 19:14:00,-1.495806,53.386251,60,1,4,UK,Android,3,Vodafone,PrePaid,Passive,NotInUse
2020-05-12 19:14:00,-1.447195,53.368269,35,2,3,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-05-13 19:14:00,-1.514639,53.372151,77,2,3,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-05-14 19:14:00,-1.509568,53.386402,37,1,2,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-05-15 19:14:00,-1.453106,53.379769,41,1,3,Resident,Android,2,O2,PrePaid,Passive,NotInUse
2020-05-16 19:14:00,-1.511737,53.373031,33,2,4,Non-UK,Android,1,BT,PostPaid,Active,Data
2020-05-17 19:14:00,-1.439321,53.376823,16,2,5,Resident,Apple,1,BT,PostPaid,Passive,NotInUse
2020-05-18 19:14:00,-1.445585,53.385310,72,1,2,Resident,Apple,1,BT,PostPaid,Passive,NotInUse
2020-05-19 19:14:00,-1.511713,53.370609,36,1,4,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-05-20 19:14:00,-1.456774,53.377729,25,1,5,UK,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-05-21 19:14:00,-1.501399,53.391715,44,2,1,Non-UK,Android,1,BT,PostPaid,Passive,NotInUse
2020-05-22 19:14:00,-1.449514,53.380123,80,1,3,Resident,Android,1,BT,PostPaid,Active,Data
2020-05-23 19:14:00,-1.459357,53.374431,38,1,4,Resident,Apple,5,Three,PostPaid,Passive,NotInUse
2020-05-24 19:14:00,-1.450148,53.384449,15,2,1,UK,Apple,3,Vodafone,PostPaid,Active,Data
2020-05-25 19:14:00,-1.453097,53.383504,57,2,3,Resident,Apple,4,EE,PrePaid,Passive,NotInUse
2020-05-26 19:14:00,-1.446262,53.382109,76,1,2,Resident,Android,6,MVNO,PrePaid,Passive,NotInUse
2020-05-27 19:14:00,-1.452657,53.374159,30,1,3,UK,Apple,5,Three,PostPaid,Passive,NotInUse
2020-05-28 19:14:00,-1.515806,53.379709,63,2,3,UK,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-05-29 19:14:00,-1.507000,53.376952,79,1,3,Resident,Android,3,Vodafone,PrePaid,Passive,NotInUse
2020-05-30 19:14:00,-1.468814,53.376051,21,1,4,Resident,Apple,2,O2,PostPaid,Passive,NotInUse
2020-05-31 19:14:00,-1.498426,53.375488,41,2,3,Resident,Apple,3,Vodafone,PostPaid,Passive,NotInUse
2020-06-01 19:14:00,-1.474850,53.376359,69,2,1,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-06-02 19:14:00,-1.479257,53.383120,38,1,5,Resident,Android,4,EE,PrePaid,Passive,NotInUse
2020-06-03 19:14:00,-1.492788,53.370932,32,2,3,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-04 19:14:00,-1.480063,53.390120,24,2,1,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-05 19:14:00,-1.511572,53.391101,56,2,5,Resident,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-06-06 19:14:00,-1.434800,53.373127,81,1,1,Resident,Apple,6,MVNO,PrePaid,Passive,NotInUse
2020-06-07 19:14:00,-1.502187,53.373291,73,2,3,Resident,Android,6,MVNO,PostPaid,Active,Data
2020-06-08 19:14:00,-1.493160,53.378604,80,1,5,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-06-09 19:14:00,-1.446618,53.379819,81,1,3,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-10 19:14:00,-1.479347,53.385701,57,2,4,Resident,Android,1,BT,PostPaid,Active,Voice
2020-06-11 19:14:00,-1.475772,53.382446,64,1,2,Non-UK,Android,5,Three,PostPaid,Passive,NotInUse
2020-06-12 19:14:00,-1.441946,53.392136,19,2,5,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-13 19:14:00,-1.500384,53.391925,68,1,1,Resident,Android,6,MVNO,PrePaid,Passive,NotInUse
2020-06-14 19:14:00,-1.496665,53.376121,40,2,4,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-06-15 19:14:00,-1.465532,53.369758,74,1,5,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-16 19:14:00,-1.472840,53.380665,56,2,2,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-17 19:14:00,-1.505998,53.377457,38,2,4,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-18 19:14:00,-1.435635,53.381518,44,1,3,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-06-19 19:14:00,-1.494862,53.371831,25,1,5,Resident,Android,5,Three,PrePaid,Passive,NotInUse
2020-06-20 19:14:00,-1.469322,53.381066,61,2,5,UK,Android,1,BT,PostPaid,Passive,NotInUse
2020-06-21 19:14:00,-1.467160,53.381953,66,2,2,UK,Android,5,Three,PostPaid,Passive,NotInUse
2020-06-22 19:14:00,-1.487011,53.372380,81,1,5,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-06-23 19:14:00,-1.493795,53.378920,14,1,2,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-06-24 19:14:00,-1.464659,53.383983,17,1,1,Resident,Apple,1,BT,PostPaid,Active,Voice
2020-06-25 19:14:00,-1.515636,53.386514,74,2,2,Resident,Android,5,Three,PrePaid,Passive,NotInUse
2020-06-26 19:14:00,-1.508779,53.389299,18,2,1,Resident,Android,6,MVNO,PrePaid,Passive,NotInUse
2020-06-27 19:14:00,-1.496568,53.381536,68,1,1,UK,Android,2,O2,PostPaid,Passive,NotInUse
2020-06-28 19:14:00,-1.491720,53.370983,18,2,4,UK,Android,4,EE,PostPaid,Passive,NotInUse
2020-06-29 19:14:00,-1.445981,53.381027,26,2,3,UK,Android,2,O2,PostPaid,Passive,NotInUse
2020-06-30 19:14:00,-1.436924,53.388377,41,1,1,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-07-01 19:14:00,-1.504452,53.374417,63,1,4,Resident,Android,5,Three,PrePaid,Passive,NotInUse
2020-07-02 19:14:00,-1.499076,53.387648,18,2,1,Resident,Android,2,O2,PostPaid,Active,Data
2020-07-03 19:14:00,-1.441109,53.385284,12,2,4,UK,Android,5,Three,PrePaid,Passive,NotInUse
2020-07-04 19:14:00,-1.445201,53.390792,47,2,3,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
