PIckUpDateTime,Longitude,Latitude,Age,Sex,SpendCat,RedidentCat,AppleAndorid,NetworkFlag,NetworkProvider,PrePaidPostPaid,ActivePassive,VoiceData
2020-04-29 01:00:00+00,-1.439974,53.387624,63,1,5,1,2,1,1,1,2,1
2020-04-29 01:00:00+00,-1.513922,53.383351,65,1,5,1,1,1,1,1,2,1
2020-04-29 02:00:00+00,-1.480025,53.396318,23,1,5,1,2,1,1,1,1,2
2020-04-29 02:00:00+00,-1.479028,53.482838,28,1,1,1,1,1,1,1,1,1
2020-04-29 02:00:00+00,-1.458682,53.368901,26,1,5,1,2,1,1,2,1,1
2020-04-29 02:00:00+00,-1.484612,53.384861,52,1,5,1,2,1,1,1,2,1
2020-04-29 03:00:00+00,-1.480498,53.452948,24,1,3,1,2,1,1,1,2,1
2020-04-29 03:00:00+00,-1.449903,53.378752,30,1,3,1,1,1,1,1,1,1
2020-04-29 04:00:00+00,-1.480746,53.451178,31,1,4,1,2,1,1,1,2,1
2020-04-29 04:00:00+00,-1.43443,53.386677,22,1,1,1,1,1,1,1,1,1
2020-04-29 04:00:00+00,-1.442755,53.368209,56,1,3,1,1,1,1,1,2,1
2020-04-29 05:00:00+00,-1.475357,53.397699,20,1,2,1,2,1,1,1,2,1
2020-04-29 05:00:00+00,-1.480241,53.384988,16,1,1,1,2,1,1,2,1,1
2020-04-29 07:00:00+00,-1.480631,53.473288,26,1,5,1,1,1,1,1,2,1
2020-04-29 07:00:00+00,-1.445273,53.372659,42,1,1,1,2,1,1,1,1,1
2020-04-29 08:00:00+00,-1.462319,53.374497,64,1,4,1,2,1,1,1,1,1
2020-04-29 08:00:00+00,-1.487756,53.379404,56,1,4,1,2,1,1,2,2,1
2020-04-29 08:00:00+00,-1.43727,53.389579,67,1,3,1,1,1,1,1,2,2
2020-04-29 08:00:00+00,-1.480022,53.489758,63,1,4,1,2,1,1,1,1,1
2020-04-29 08:00:00+00,-1.480592,53.453398,51,1,4,1,2,1,1,1,2,1
2020-04-29 08:00:00+00,-1.480726,53.454018,44,1,2,1,1,1,1,1,2,1
2020-04-29 10:00:00+00,-1.479971,53.479898,63,1,2,1,1,1,1,1,1,2
2020-04-29 11:00:00+00,-1.469523,53.392108,44,1,1,1,1,1,1,1,1,1
2020-04-29 11:00:00+00,-1.480311,53.491768,82,1,3,1,1,1,1,1,2,1
2020-04-29 13:00:00+00,-1.480141,53.386008,25,1,2,1,1,1,1,1,1,1
2020-04-29 14:00:00+00,-1.457831,53.384412,36,1,4,1,1,1,1,2,1,1
2020-04-29 14:00:00+00,-1.479127,53.380889,40,1,3,1,1,1,1,2,1,1
2020-04-29 14:00:00+00,-1.480202,53.455898,77,1,4,1,2,1,1,1,1,2
2020-04-29 15:00:00+00,-1.504876,53.369535,35,1,4,1,1,1,1,1,1,1
2020-04-29 15:00:00+00,-1.450685,53.379362,71,1,1,1,2,1,1,1,1,1
2020-04-29 15:00:00+00,-1.479302,53.411118,19,1,5,1,2,1,1,2,2,1
2020-04-29 15:00:00+00,-1.479046,53.385428,80,1,5,1,2,1,1,1,1,1
2020-04-29 16:00:00+00,-1.494576,53.386316,21,1,1,1,2,1,1,1,2,1
2020-04-29 16:00:00+00,-1.480866,53.407318,24,1,3,1,2,1,1,1,1,2
2020-04-29 16:00:00+00,-1.480142,53.460188,69,1,3,1,2,1,1,1,2,1
2020-04-29 17:00:00+00,-1.492456,53.381738,41,1,5,1,2,1,1,1,1,1
2020-04-29 17:00:00+00,-1.480614,53.469198,68,1,3,1,2,1,1,1,1,1
2020-04-29 17:00:00+00,-1.479931,53.390588,72,1,5,1,2,1,1,1,2,1
2020-04-29 18:00:00+00,-1.501755,53.372681,28,1,1,1,1,1,1,1,2,1
2020-04-29 18:00:00+00,-1.479573,53.421808,38,1,5,1,2,1,1,1,1,1
2020-04-29 20:00:00+00,-1.47489,53.419079,27,1,3,1,1,1,1,2,1,1
2020-04-29 21:00:00+00,-1.475309,53.408049,30,1,3,1,2,1,1,1,1,1
2020-04-29 21:00:00+00,-1.475034,53.385019,36,1,1,1,1,1,1,1,1,1
2020-04-29 21:00:00+00,-1.480289,53.508678,60,1,3,1,1,1,1,1,2,1
2020-04-29 21:00:00+00,-1.470461,53.38342,55,1,1,1,2,1,1,1,2,1
2020-04-29 22:00:00+00,-1.471155,53.376176,43,1,5,1,1,1,1,1,1,1
2020-04-29 22:00:00+00,-1.486709,53.377863,73,1,3,1,1,1,1,1,2,1
2020-04-29 22:00:00+00,-1.463952,53.386507,30,1,2,1,1,1,1,1,1,1
2020-04-29 23:00:00+00,-1.463514,53.369618,43,1,5,1,1,1,1,2,1,1
2020-04-29 09:00:00+00,-1.480259,53.490998,46,1,2,2,2,1,1,1,1,1
2020-04-29 10:00:00+00,-1.480931,53.391678,26,1,4,2,1,1,1,1,2,1
2020-04-29 11:00:00+00,-1.479269,53.449658,82,1,5,2,2,1,1,1,2,1
2020-04-29 11:00:00+00,-1.475397,53.432459,69,1,1,2,2,1,1,1,1,1
2020-04-29 12:00:00+00,-1.480469,53.508768,31,1,2,2,2,1,1,1,2,1
2020-04-29 13:00:00+00,-1.475548,53.392089,81,1,5,2,2,1,1,1,1,1
2020-04-29 14:00:00+00,-1.479542,53.481638,33,1,5,2,1,1,1,1,1,2
2020-04-29 15:00:00+00,-1.47949,53.429468,46,1,2,2,2,1,1,1,1,1
2020-04-29 16:00:00+00,-1.480588,53.447568,85,1,3,2,1,1,1,1,2,1
2020-04-29 12:00:00+00,-1.47511,53.385989,30,1,4,3,1,1,1,1,2,1
2020-04-29 12:00:00+00,-1.474795,53.395519,48,1,2,3,2,1,1,1,2,1
2020-04-29 13:00:00+00,-1.479337,53.475958,27,1,5,3,2,1,1,1,1,1
2020-04-29 16:00:00+00,-1.479062,53.379308,57,1,1,3,1,1,1,1,2,1
2020-04-29 01:00:00+00,-1.457355,53.370774,25,1,4,1,2,2,1,1,2,1
2020-04-29 02:00:00+00,-1.479477,53.414218,19,1,5,1,2,2,1,1,1,1
2020-04-29 03:00:00+00,-1.475822,53.394439,47,1,1,1,1,2,1,1,2,1
2020-04-29 03:00:00+00,-1.474922,53.400289,17,1,5,1,2,2,1,1,1,1
2020-04-29 03:00:00+00,-1.480241,53.384988,38,1,2,1,2,2,1,1,1,2
2020-04-29 03:00:00+00,-1.500906,53.378919,28,1,2,1,1,2,1,1,2,1
2020-04-29 04:00:00+00,-1.440912,53.379798,82,1,4,1,2,2,1,1,2,1
2020-04-29 04:00:00+00,-1.441364,53.382829,20,1,1,1,1,2,1,1,1,1
