PickUpTime,DropOffTime,passangers,trip distance,pickup long,pickup lat,dropoff long,dropoff lat,fare amount,trip amount,total amount
4/28/2020 0:17,4/28/2020 0:20,2,1.6,-1.440521,53.379305,-1.437726,53.372001,9.6,0.96,11.09
4/28/2020 0:20,4/28/2020 0:24,1,2.4,-1.44142,53.384896,-1.503893,53.386063,9.6,0.96,11.09
4/28/2020 0:23,4/28/2020 0:30,3,4,-1.447185,53.376367,-1.495841,53.382579,24,0,25.2
4/28/2020 0:26,4/28/2020 0:27,3,0.8,-1.464786,53.371032,-1.495818,53.386672,2.4,0.24,2.77
4/28/2020 0:29,4/28/2020 0:37,3,4.8,-1.48168,53.385213,-1.514565,53.368424,24,0,25.2
4/28/2020 0:32,4/28/2020 0:45,2,7.2,-1.504385,53.388651,-1.491997,53.38716,50.4,5.04,58.21
4/28/2020 0:34,4/28/2020 0:37,2,1.6,-1.476502,53.380202,-1.43998,53.375903,4.8,0.48,5.54
4/28/2020 0:37,4/28/2020 0:47,1,5.6,-1.472028,53.386542,-1.487162,53.377538,33.6,0,35.28
4/28/2020 0:40,4/28/2020 0:47,1,4,-1.515951,53.388682,-1.501914,53.381845,12,1.2,13.86
4/28/2020 0:43,4/28/2020 0:55,2,6.4,-1.438725,53.391611,-1.504575,53.382282,19.2,0,20.16
4/28/2020 0:46,4/28/2020 0:56,3,5.6,-1.500659,53.382534,-1.49741,53.38265,28,0,29.4
4/28/2020 0:49,4/28/2020 0:52,1,1.6,-1.487528,53.369295,-1.487851,53.382433,6.4,0,6.72
4/28/2020 0:52,4/28/2020 1:03,1,6.4,-1.464606,53.371613,-1.439334,53.387304,19.2,0,20.16
4/28/2020 0:55,4/28/2020 0:56,3,0.8,-1.451496,53.388226,-1.441956,53.381298,3.2,0.32,3.7
4/28/2020 0:57,4/28/2020 1:00,2,1.6,-1.474776,53.388863,-1.500607,53.384905,8,0.8,9.24
4/28/2020 1:00,4/28/2020 1:09,1,4.8,-1.45269,53.381351,-1.444742,53.374788,33.6,0,35.28
4/28/2020 1:03,4/28/2020 1:09,3,3.2,-1.465475,53.373872,-1.491718,53.391844,22.4,2.24,25.87
4/28/2020 1:06,4/28/2020 1:18,1,6.4,-1.458403,53.391703,-1.46413,53.385761,19.2,0,20.16
4/28/2020 1:09,4/28/2020 1:12,2,1.6,-1.505584,53.374329,-1.503197,53.378489,9.6,0,10.08
4/28/2020 1:12,4/28/2020 1:18,3,3.2,-1.44742,53.382418,-1.487968,53.369288,22.4,0,23.52
4/28/2020 1:15,4/28/2020 1:25,3,5.6,-1.470173,53.37809,-1.474791,53.389781,22.4,2.24,25.87
4/28/2020 1:18,4/28/2020 1:19,3,0.8,-1.494582,53.389178,-1.435205,53.372206,4.8,0,5.04
4/28/2020 1:21,4/28/2020 1:28,3,4,-1.487698,53.389425,-1.47741,53.383437,20,2,23.1
4/28/2020 1:23,4/28/2020 1:26,1,1.6,-1.446121,53.37619,-1.493415,53.373136,6.4,0.64,7.39
4/28/2020 1:26,4/28/2020 1:33,3,4,-1.474767,53.368036,-1.496264,53.380688,16,0,16.8
4/28/2020 1:29,4/28/2020 1:31,2,0.8,-1.451969,53.375829,-1.485906,53.391243,4,0.4,4.62
4/28/2020 1:32,4/28/2020 1:35,2,1.6,-1.447133,53.376552,-1.506295,53.37324,11.2,0,11.76
4/28/2020 1:35,4/28/2020 1:39,2,2.4,-1.448321,53.385096,-1.495259,53.368372,9.6,0.96,11.09
4/28/2020 1:38,4/28/2020 1:46,2,4.8,-1.457518,53.37896,-1.449017,53.379501,33.6,3.36,38.81
4/28/2020 1:41,4/28/2020 1:54,3,7.2,-1.482238,53.373876,-1.451591,53.391452,43.2,0,45.36
4/28/2020 1:44,4/28/2020 1:54,2,5.6,-1.494224,53.387541,-1.514833,53.380561,22.4,2.24,25.87
4/28/2020 1:46,4/28/2020 1:51,3,2.4,-1.457897,53.387723,-1.46569,53.390778,9.6,0.96,11.09
4/28/2020 1:49,4/28/2020 1:55,3,3.2,-1.450335,53.388978,-1.490578,53.375741,16,0,16.8
4/28/2020 1:52,4/28/2020 2:04,2,6.4,-1.510283,53.388339,-1.463902,53.371139,32,3.2,36.96
4/28/2020 1:55,4/28/2020 1:59,2,2.4,-1.508861,53.389391,-1.515288,53.390185,12,1.2,13.86
4/28/2020 1:58,4/28/2020 2:07,1,4.8,-1.492372,53.382687,-1.453696,53.371521,14.4,1.44,16.63
4/28/2020 2:01,4/28/2020 2:07,3,3.2,-1.444604,53.390051,-1.453561,53.376112,12.8,0,13.44
4/28/2020 2:04,4/28/2020 2:07,2,1.6,-1.436608,53.39074,-1.479479,53.377371,11.2,0,11.76
4/28/2020 2:07,4/28/2020 2:11,1,2.4,-1.496267,53.379715,-1.438494,53.389221,12,1.2,13.86
4/28/2020 2:09,4/28/2020 2:11,1,0.8,-1.487822,53.384092,-1.511259,53.378792,5.6,0.56,6.47
4/28/2020 2:12,4/28/2020 2:24,3,6.4,-1.445169,53.388939,-1.435433,53.379402,19.2,0,20.16
4/28/2020 2:15,4/28/2020 2:21,2,3.2,-1.493781,53.382822,-1.503887,53.378572,19.2,0,20.16
4/28/2020 2:18,4/28/2020 2:21,1,1.6,-1.439578,53.386229,-1.465067,53.391125,4.8,0,5.04
4/28/2020 2:21,4/28/2020 2:34,3,7.2,-1.502717,53.390151,-1.48104,53.37409,36,0,37.8
4/28/2020 2:24,4/28/2020 2:34,1,5.6,-1.436267,53.38323,-1.451202,53.379764,22.4,2.24,25.87
4/28/2020 2:27,4/28/2020 2:33,3,3.2,-1.506549,53.377201,-1.471338,53.371145,12.8,1.28,14.78
4/28/2020 2:30,4/28/2020 2:34,3,2.4,-1.507626,53.376661,-1.449023,53.371594,7.2,0.72,8.32
4/28/2020 2:33,4/28/2020 2:43,3,5.6,-1.498112,53.383725,-1.468125,53.384297,39.2,3.92,45.28
4/28/2020 2:35,4/28/2020 2:40,1,2.4,-1.480818,53.385852,-1.505924,53.377106,14.4,0,15.12
4/28/2020 2:38,4/28/2020 2:45,3,4,-1.508583,53.386929,-1.466204,53.390357,24,0,25.2
4/28/2020 2:41,4/28/2020 2:50,1,4.8,-1.491219,53.370383,-1.47073,53.389215,33.6,3.36,38.81
4/28/2020 2:44,4/28/2020 2:45,3,0.8,-1.487226,53.383275,-1.457553,53.379213,4.8,0.48,5.54
4/28/2020 2:47,4/28/2020 2:58,1,6.4,-1.477647,53.376002,-1.470288,53.389445,44.8,4.48,51.74
4/28/2020 2:50,4/28/2020 2:53,1,1.6,-1.440554,53.376705,-1.491,53.375327,4.8,0.48,5.54
4/28/2020 2:53,4/28/2020 2:57,1,2.4,-1.462303,53.379228,-1.496859,53.382632,9.6,0.96,11.09
4/28/2020 2:56,4/28/2020 2:57,3,0.8,-1.500536,53.37035,-1.497159,53.369018,5.6,0,5.88
4/28/2020 2:58,4/28/2020 3:09,2,5.6,-1.50119,53.372744,-1.434671,53.392355,39.2,0,41.16
4/28/2020 3:01,4/28/2020 3:13,3,6.4,-1.482381,53.374721,-1.496942,53.376604,19.2,1.92,22.18
4/28/2020 3:04,4/28/2020 3:07,2,1.6,-1.43538,53.378512,-1.447821,53.380481,4.8,0,5.04
4/28/2020 3:07,4/28/2020 3:11,1,2.4,-1.447436,53.374026,-1.478349,53.374038,7.2,0.72,8.32
4/28/2020 3:10,4/28/2020 3:11,3,0.8,-1.44106,53.389751,-1.462875,53.384603,4.8,0,5.04
4/28/2020 3:13,4/28/2020 3:17,2,2.4,-1.509839,53.372847,-1.435978,53.36972,9.6,0,10.08
4/28/2020 3:16,4/28/2020 3:20,2,2.4,-1.501922,53.389525,-1.489308,53.386727,16.8,0,17.64
4/28/2020 3:19,4/28/2020 3:27,1,4.8,-1.440758,53.370833,-1.491108,53.370625,14.4,0,15.12
4/28/2020 3:21,4/28/2020 3:24,3,1.6,-1.503194,53.379161,-1.483477,53.391571,4.8,0.48,5.54
4/28/2020 3:24,4/28/2020 3:27,3,1.6,-1.516247,53.377515,-1.454965,53.380106,6.4,0,6.72
4/28/2020 3:27,4/28/2020 3:34,3,4,-1.457685,53.376188,-1.454923,53.376509,12,0,12.6
4/28/2020 3:30,4/28/2020 3:43,1,7.2,-1.441056,53.38599,-1.510248,53.371335,36,3.6,41.58
4/28/2020 3:33,4/28/2020 3:37,3,2.4,-1.447362,53.390801,-1.470877,53.384016,12,1.2,13.86
